venue,title,abstract,doi,is_msr,msr_reason,has_causal,causal_type,causal_reason,is_empirical,empirical_reason,causal_method_class,correct,reason,causal_method_class_corrected
ASE 2020,"Revisiting the Relationship Between Fault Detection, Test Adequacy Criteria, and Test Set Size","The research community has long recognized a complex interrelationship between fault detection, test adequacy criteria, and test set size. However, there is substantial confusion about whether and how to experimentally control for test set size when assessing how well an adequacy criterion is correlated with fault detection and when comparing test adequacy criteria. Resolving the confusion, this paper makes the following contributions: (1) A review of contradictory analyses of the relationships between fault detection, test adequacy criteria, and test set size. Specifically, this paper addresses the supposed contradiction of prior work and explains why test set size is neither a confounding variable, as previously suggested, nor an independent variable that should be experimentally manipulated. (2) An explication and discussion of the experimental designs of prior work, together with a discussion of conceptual and statistical problems, as well as specific guidelines for future work. (3) A methodology for comparing test adequacy criteria on an equal basis, which accounts for test set size without directly manipulating it through unrealistic stratification. (4) An empirical evaluation that compares the effectiveness of coverage-based testing, mutation-based testing, and random testing. Additionally, this paper proposes probabilistic coupling, a methodology for assessing the representativeness of a set of test goals for a given fault and for approximating the fault-detection probability of adequate test sets.",10.1145/3324884.3416667,False,The paper conducts controlled experiments on test adequacy criteria and fault detection rather than mining data from software repositories.,True,both,"The paper explicitly discusses confounding variables, experimental designs for establishing causal relationships between test adequacy criteria and fault detection, and makes causal claims about the relationship between these variables (e.g., whether test set size is a confounding variable).",True,"The paper includes an empirical evaluation comparing the effectiveness of coverage-based testing, mutation-based testing, and random testing, collecting and analyzing data on fault detection and test adequacy criteria.",Randomized Controlled Experiment; Causal Fault Localization,no,"CFL incorrect: paper studies fault DETECTION (whether tests find faults) via experimental design, not fault LOCALIZATION using causal methods",Randomized Controlled Experiment
ASE 2020,Team Discussions and Dynamics During DevOps Tool Adoptions in OSS Projects,"In Open Source Software (OSS) projects, pre-built tools dominate DevOps-oriented pipelines. In practice, a multitude of configuration management, cloud-based continuous integration, and automated deployment tools exist, and often more than one for each task. Tools are adopted (and given up) by OSS projects regularly. Prior work has shown that some tool adoptions are preceded by discussions, and that tool adoptions can result in benefits to the project. But important questions remain: how do teams decide to adopt a tool? What is discussed before the adoption and for how long? And, what team characteristics are determinant of the adoption?In this paper, we employ a large-scale empirical study in order to characterize the team discussions and to discern the team-level determinants of tool adoption into OSS projects' development pipelines. Guided by theories of team and individual motivations and dynamics, we perform exploratory data analyses, do deep-dive case studies, and develop regression models to learn the determinants of adoption and discussion length, and the direction of their effect on the adoption. From data of commit and comment traces of large-scale GitHub projects, our models find that prior exposure to a tool and member involvement are positively associated with the tool adoption, while longer discussions and the number of newer team members associate negatively. These results can provide guidance beyond the technical appropriateness for the timeliness of tool adoptions in diverse programmer teams. Our data and code is available at https://github.com/lkyin/tool_adoptions. In this paper, we employ a large-scale empirical study in order to characterize the team discussions and to discern the team-level determinants of tool adoption into OSS projects' development pipelines. Guided by theories of team and individual motivations and dynamics, we perform exploratory data analyses, do deep-dive case studies, and develop regression models to learn the determinants of adoption and discussion length, and the direction of their effect on the adoption. From data of commit and comment traces of large-scale GitHub projects, our models find that prior exposure to a tool and member involvement are positively associated with the tool adoption, while longer discussions and the number of newer team members associate negatively. These results can provide guidance beyond the technical appropriateness for the timeliness of tool adoptions in diverse programmer teams. Our data and code is available at https://github.com/lkyin/tool_adoptions.",10.1145/3324884.3416640,True,The study mines commit and comment traces from large-scale GitHub repositories to analyze team discussions and dynamics surrounding tool adoptions in OSS projects.,True,both,"The paper uses regression models to identify determinants and discusses 'the direction of their effect on the adoption,' employing causal-adjacent language such as 'positively associated with' and 'associate negatively,' and frames the analysis around discerning determinants (implying causal factors) of tool adoption.",True,"The paper conducts a large-scale empirical study using exploratory data analyses, case studies, and regression models on commit and comment traces from GitHub projects to investigate team discussions and determinants of DevOps tool adoption.",Regression-based Causal Inference,no,"Regression-based Causal Inference questionable: paper uses regression with associational language (""positively associated with""), not explicit causal inference",
ASE 2021,Groot: An Event-graph-based Approach for Root Cause Analysis in Industrial Settings,"For large-scale distributed systems, it is crucial to efficiently diagnose the root causes of incidents to maintain high system availability. The recent development of microservice architecture brings three major challenges (i.e., complexities of operation, system scale, and monitoring) to root cause analysis (RCA) in industrial settings. To tackle these challenges, in this paper, we present Groot, an event-graph-based approach for RCA. Groot constructs a real-time causality graph based on events that summarize various types of metrics, logs, and activities in the system under analysis. Moreover, to incorporate domain knowledge from site reliability engineering (SRE) engineers, Groot can be customized with user-defined events and domain-specific rules. Currently, Groot supports RCA among 5,000 real production services and is actively used by the SRE teams in eBay, a global e-commerce system serving more than 159 million active buyers per year. Over 15 months, we collect a data set containing labeled root causes of 952 real production incidents for evaluation. The evaluation results show that Groot is able to achieve 95% top-3 accuracy and 78% top-1 accuracy. To share our experience in deploying and adopting RCA in industrial settings, we conduct a survey to show that users of Groot find it helpful and easy to use. We also share the lessons learned from deploying and adopting Groot to solve RCA problems in production environments.",10.1109/ASE51524.2021.9678708,False,"While the paper analyzes production system data (metrics, logs, activities), it focuses on operational incident diagnosis rather than mining software repositories like version control, issue trackers, or code review systems.",True,both,"The paper explicitly constructs a 'causality graph' for root cause analysis, which is a causal inference approach, and makes causal claims about identifying root causes of incidents.",True,The paper collects and analyzes data from 952 real production incidents over 15 months and conducts a user survey to evaluate the Groot system in an industrial setting.,Causal Graph / DAG; Causal Fault Localization,yes,,Causal Graph / DAG; Causal Fault Localization
ASE 2022,A fault injection platform for learning AIOps models,"In today’s IT environment with a growing number of costly outages, increasing complexity of the systems, and availability of massive operational data, there is a strengthening demand to effectively leverage Artificial Intelligence and Machine Learning (AI/ML) towards enhanced resiliency. In this paper, we present an automatic fault injection platform to enable and optimize the generation of data needed for building AI/ML models to support modern IT operations. The merits of our platform include the ease of use, the possibility to orchestrate complex fault scenarios and to optimize the data generation for the modeling task at hand. Specifically, we designed a fault injection service that (i) combines fault injection with data collection in a unified framework, (ii) supports hybrid and multi-cloud environments, and (iii) does not require programming skills for its use. Our current implementation covers the most common fault types both at the application and infrastructure levels. The platform also includes some AI capabilities. In particular, we demonstrate the interventional causal learning capability currently available in our platform. We show how our system is able to learn a model of error propagation in a micro-service application in a cloud environment (when the communication graph among micro-services is unknown and only logs are available) for use in subsequent applications such as fault localization.",10.1145/3551349.3559503,False,The paper does not mine existing software repositories; it generates data through fault injection for building AI/ML models.,True,method,"The paper explicitly demonstrates 'interventional causal learning' capability to learn a model of error propagation, which is a causal inference method.",False,"The paper presents a fault injection platform (tool) and demonstrates its capabilities, but does not conduct a systematic empirical study investigating software engineering phenomena.",Interventional / do-Calculus,yes,,Interventional / do-Calculus
ASE 2023,ESRO: Experience Assisted Service Reliability against Outages,"Modern cloud services are prone to failures due to their complex architecture, making diagnosis a critical process. Site Reliability Engineers (SREs) spend hours leveraging multiple sources of data, including the alerts, error logs, and domain expertise through past experiences to locate the root cause(s). These experiences are documented as natural language text in outage reports for previous outages. However, utilizing the raw yet rich semi-structured information in the reports systematically is time-consuming. Structured information, on the other hand, such as alerts that are often used during fault diagnosis, is voluminous and requires expert knowledge to discern. Several strategies have been proposed to use each source of data separately for root cause analysis. In this work, we build a diagnostic service called ESRO that recommends root causes and remediation for failures by utilizing structured as well as semi-structured sources of data systematically. ESRO constructs a causal graph using alerts and a knowledge graph using outage reports, and merges them in a novel way to form a unified graph during training. A retrieval based mechanism is then used to search the unified graph and rank the likely root causes and remediation techniques based on the alerts fired during an outage at inference time. Not only the individual alerts, but their respective importance in predicting an outage group is taken into account during recommendation. We evaluated our model on several cloud service outages of a large SaaS enterprise over the course of ~2 years, and obtained an average improvement of 27% in rouge scores after comparing the likely root causes against the ground truth over state-of-the-art baselines. We further establish the effectiveness of ESRO through qualitative analysis on multiple real outage examples.",10.1109/ASE56229.2023.00131,True,"The paper mines and analyzes data from software operational repositories including alerts, error logs, and outage reports from a large SaaS enterprise to build diagnostic models.",True,method,The paper explicitly constructs a causal graph from alerts as a core component of the ESRO system for root cause analysis.,True,The paper evaluates the ESRO system on real cloud service outages over ~2 years and compares results against baselines using quantitative metrics (ROUGE scores) and qualitative analysis.,Causal Graph / DAG; Causal Fault Localization,yes,,Causal Graph / DAG; Causal Fault Localization
ASE 2023,Causality-Aided Trade-Off Analysis for Machine Learning Fairness,"There has been an increasing interest in enhancing the fairness of machine learning (ML). Despite the growing number of fairness-improving methods, we lack a systematic understanding of the trade-offs among factors considered in the ML pipeline when fairness-improving methods are applied. This understanding is essential for developers to make informed decisions regarding the provision of fair ML services. Nonetheless, it is extremely difficult to analyze the trade-offs when there are multiple fairness parameters and other crucial metrics involved, coupled, and even in conflict with one another. This paper uses causality analysis as a principled method for analyzing trade-offs between fairness parameters and other crucial metrics in ML pipelines. To practically and effectively conduct causality analysis, we propose a set of domain-specific optimizations to facilitate accurate causal discovery and a unified, novel interface for trade-off analysis based on well-established causal inference methods. We conduct a comprehensive empirical study using three real-world datasets on a collection of widely-used fairness-improving techniques. Our study obtains actionable suggestions for users and developers of fair ML. We further demonstrate the versatile usage of our approach in selecting the optimal fairness-improving method, paving the way for more ethical and socially responsible AI technologies.",10.1109/ASE56229.2023.00105,False,"The paper analyzes ML fairness datasets and fairness-improving methods, not data extracted from software repositories such as version control, issue trackers, or code review systems.",True,both,The paper explicitly uses causal discovery and causal inference methods (causality analysis) as its core methodology and makes causal claims about trade-offs between fairness parameters and other metrics.,True,The paper conducts a comprehensive empirical study using three real-world datasets on a collection of widely-used fairness-improving techniques to analyze trade-offs in ML fairness pipelines.,Causal Discovery; Causal Fault Localization,yes,,Causal Discovery; Causal Fault Localization
ASE 2023,Perfce: Performance Debugging on Databases with Chaos Engineering-Enhanced Causality Analysis,"Debugging performance anomalies in databases is challenging. Causal inference techniques enable qualitative and quantitative root cause analysis of performance downgrades. Nevertheless, causality analysis is challenging in practice, particularly due to limited observability. Recently, chaos engineering (CE) has been applied to test complex software systems. CE frameworks mutate chaos variables to inject catastrophic events (e.g., network slowdowns) to stress-test these software systems. The systems under chaos stress are then tested (e.g., via differential testing) to check if they retain normal functionality, such as returning correct SQL query outputs even under stress. To date, CE is mainly employed to aid software testing. This paper identifies the novel usage of CE in diagnosing performance anomalies in databases. Our framework, PERFCE, has two phases - offline and online. The offline phase learns statistical models of a database using both passive observations and proactive chaos experiments. The online phase diagnoses the root cause of performance anomalies from both qualitative and quantitative aspects on-the-fly. In evaluation, Perfce outperformed previous works on synthetic datasets and is highly accurate and moderately expensive when analyzing real-world (distributed) databases like MySQL and TiDB.",10.1109/ASE56229.2023.00106,False,The paper does not mine software repositories; it analyzes database performance data through chaos engineering experiments and causal inference.,True,method,"The paper explicitly uses causal inference techniques for root cause analysis, including causality analysis enhanced by chaos engineering to identify qualitative and quantitative causes of performance anomalies.",False,"The paper proposes a new framework (PERFCE) for performance debugging and evaluates it on synthetic and real-world databases; this is a technique/tool paper with an empirical evaluation, not an empirical SE study investigating software engineering phenomena.",Interventional / do-Calculus; Causal Fault Localization,yes,,Interventional / do-Calculus; Causal Fault Localization
ASE 2024,Root Cause Analysis for Microservice System based on Causal Inference: How Far Are We?,"Microservice architecture has become a popular architecture adopted by many cloud applications. However, identifying the root cause of a failure in microservice systems is still a challenging and time-consuming task. In recent years, researchers have introduced various causal inference-based root cause analysis methods to assist engineers in identifying the root causes. To gain a better understanding of the current status of causal inference-based root cause analysis techniques for microservice systems, we conduct a comprehensive evaluation of nine causal discovery methods and twenty-one root cause analysis methods. Our evaluation aims to understand both the effectiveness and efficiency of causal inference-based root cause analysis methods, as well as other factors that affect their performance. Our experimental results and analyses indicate that no method stands out in all situations; each method tends to either fall short in effectiveness, efficiency, or shows sensitivity to specific parameters. Notably, the performance of root cause analysis methods on synthetic datasets may not accurately reflect their performance in real systems. Indeed, there is still a large room for further improvement. Furthermore, we also suggest possible future work based on our findings.CCS CONCEPTS• Software and its engineering → Software reliability.",10.1145/3691620.3695065,False,"The paper evaluates root cause analysis methods on microservice systems using experimental datasets (synthetic and real-system), but does not mine software repositories such as version control, issue trackers, or code review systems.",True,method,The paper explicitly evaluates causal inference-based methods (causal discovery methods) for root cause analysis in microservice systems.,True,"The paper conducts a comprehensive empirical evaluation of nine causal discovery methods and twenty-one root cause analysis methods, analyzing their effectiveness, efficiency, and sensitivity to parameters across synthetic and real-system datasets.",Causal Discovery; Causal Fault Localization,yes,,Causal Discovery; Causal Fault Localization
ASE 2024,MRCA: Metric-level Root Cause Analysis for Microservices via Multi-Modal Data,"Due to the complexity and dynamic nature of large-scale microservice systems, manual troubleshooting is time-consuming and impractical. Therefore, automated Root Cause Analysis (RCA) is essential. However, existing RCA approaches face significant challenges. (1) Multi-modal data (e.g. traces, logs, and metrics) record the status of microservice systems, but most existing RCA approaches rely on single-source data, failing to understand the system fully. (2) Existing RCA approaches ignore the services’ anomaly state and their anomaly intensity. (3) The service-level RCAs lack detailed information for quick issue resolution. To tackle these challenges, we propose MRCA, a metric-level RCA approach using multi-modal data. Our key insight is that using multi-modal data allows for a comprehensive understanding of the system, enabling the localization of root causes across more anomaly scenarios. MRCA first utilizes traces and logs to obtain the ranking list of abnormal services based on reconstruction probability. It further builds causal graphs from services with high anomaly probability to discover the order in which abnormal metrics of different services occur. By incorporating a reward mechanism, MRCA terminates the excessive expansion of the causal graph and significantly reduces the time taken for causal analysis. Finally, MRCA can prune the ranking list based on the causal graph and identify metric-level root causes. Experiments on two widely-used microservice benchmarks demonstrate that MRCA outperforms state-of-the-art approaches in terms of both accuracy and efficiency.",10.1145/3691620.3695485,False,"The paper does not mine software repositories; it analyzes runtime operational data (traces, logs, metrics) from microservice systems for root cause analysis.",True,both,"The paper explicitly builds causal graphs to discover the order in which abnormal metrics occur across services and uses causal analysis to identify root causes, employing causal inference methods and making causal claims about root cause identification.",False,"The paper proposes a new technique (MRCA) for root cause analysis and evaluates it on benchmarks, making it a technique paper with empirical evaluation rather than an empirical SE paper.",Causal Graph / DAG; Causal Fault Localization,yes,,Causal Graph / DAG; Causal Fault Localization
ASE 2024,Blackbox Observability of Features and Feature Interactions,"Configurable software systems offer user-selectable features to tailor them to the target hardware and user requirements. It is almost a rule that, as the number of features increases over time, unintended and inadvertent feature interactions arise. Despite numerous definitions of feature interactions and methods for detecting them, there is no procedure for determining whether the effect of a feature interaction could be, in principle, observed from an external perspective. In this paper, we devise a decision procedure to verify whether the effect of a given feature or potential feature interaction could be isolated by blackbox observations of a set of system configurations. For this purpose, we introduce the notion of blackbox observability, which is based on recent work on counterfactual reasoning on configuration decisions. Direct observability requires a single reference configuration to isolate the effect in question, while the broader notion of general observability relaxes this precondition and suffices with a set of reference configurations. We report on a series of experiments on community benchmarks as well as real-world configuration spaces and models. We found that (1) deciding observability is indeed tractable in real-world settings, (2) constraints in real-world configuration spaces frequently limit observability, and (3) blackbox performance models often include effects that are de facto not observable.",10.1145/3691620.3695490,False,"The paper analyzes configurable software systems and their configuration spaces but does not mine software repositories such as version control, issue trackers, or code review systems.",True,both,"The paper explicitly builds on counterfactual reasoning on configuration decisions and uses causal concepts to define observability, while also making claims about isolating the 'effect' of features and feature interactions.",True,The paper reports on a series of experiments on community benchmarks and real-world configuration spaces and models to evaluate the tractability and prevalence of observability issues.,Counterfactual Analysis,yes,,Counterfactual Analysis
