venue,title,abstract,doi,is_msr,msr_reason,has_causal,causal_type,causal_reason,is_empirical,empirical_reason,correct,reason
ASE 2022,XSA: eXplainable Self-Adaptation,"Self-adaptive systems increasingly rely on machine learning techniques as black-box models to make decisions even when the target world of interest includes uncertainty and unknowns. Because of the lack of transparency, adaptation decisions, as well as their effect on the world, are hard to explain. This often hinders the ability to trace unsuccessful adaptations back to understandable root causes. In this paper, we introduce our vision of explainable self-adaptation. We demonstrate our vision by instantiating our ideas on a running example in the robotics domain and by showing an automated proof-of-concept process providing human-understandable explanations for successful and unsuccessful adaptations in critical scenarios.",10.1145/3551349.3559552,False,The paper does not mine or analyze data from software repositories.,False,none,"While the paper mentions tracing adaptations to 'root causes,' it does not employ causal inference methods or make explicit causal claims in a statistical or empirical sense.",False,The paper presents a vision and a proof-of-concept demonstration rather than collecting and analyzing empirical data to investigate software engineering phenomena.,yes,
ASE 2018,Achieving test automation with testers without coding skills: an industrial report,"We present a process driven test automation solution which enables delegating (part of) automation tasks from test automation engineer (expensive resource) to test analyst (non-developer, less expensive). In our approach, a test automation engineer implements test steps (or actions) which are executed automatically. Such automated test steps represent user actions in the system under test and specified by a natural language which is understandable by a non-technical person. Then, a test analyst with a domain knowledge organizes automated steps combined with test input to create an automated test case. It should be emphasized that the test analyst does not need to possess programming skills to create, modify or execute automated test cases. We refine benchmark test automation architecture to be better suitable for an effective separation and sharing of responsibilities between the test automation engineer (with coding skills) and test analyst (with a domain knowledge). In addition, we propose a metric to empirically estimate cooperation between test automation engineer and test analyst's works. The proposed automation solution has been defined based on our experience in the development and maintenance of Helsenorge, the national electronic health services in Norway which has had over one million of visits per month past year, and we still use it to automate the execution of regression tests.",10.1145/3238147.3240463,False,The paper does not mine software repositories; it reports on industrial experience with a test automation process and architecture.,False,none,The paper describes a process-driven solution and proposes a cooperation metric but does not make causal claims or use causal inference methods.,True,"The paper is an industrial report based on experience in developing and maintaining a real-world system (Helsenorge), and proposes a metric to empirically estimate cooperation between roles, constituting an observational/case study in an industrial setting.",yes,
FSE 2018,Large-scale study of substitutability in the presence of effects,"A majority of modern software is constructed using languages that compute by producing side-effects such as reading/writing from/to files, throwing exceptions, acquiring locks, etc. To understand a piece of software, e.g. a class, it is important for a developer to understand its side-effects. Similarly, to replace a class with another, it is important to understand whether the replacement is a safe substitution for the former in terms of its behavior, a property known as substitutability, because mismatch may lead to bugs. The problem is especially severe for superclass-subclass pairs since at runtime an instance of the subclass may be used in the client code where a superclass is mentioned. Despite the importance of this property, we do not yet know whether substitutability w.r.t. effects between subclass and superclass is preserved in the wild, and if not what sorts of substitutability violations are common and what is the impact of such violations. This paper conducts a large scale study on over 20 million Java classes, in order to compare the effects of the methods of subclasses and superclasses in practice. Our comprehensive study considers the exception, synchronization, I/O, and method call effects. It reveals that in pairs with effects, only 8-24% have the same effects, and 31-56% of submethods have more effects, and the effects of a large percentage of submethods cannot be inferred from the supermethod.",10.1145/3236024.3236075,True,The study mines and analyzes data from a large corpus of Java classes (software repositories) to discover empirical insights about subclass-superclass effect relationships.,False,none,The paper reports descriptive statistics about substitutability violations but does not make causal claims or use causal inference methods.,True,The paper conducts a large-scale empirical study analyzing over 20 million Java classes to investigate substitutability properties in practice.,yes,
FSE 2016,WATERFALL: an incremental approach for repairing record-replay tests of web applications,"Software engineers use record/replay tools to capture use case scenarios that can serve as regression tests for web applications. Such tests, however, can be brittle in the face of code changes. Thus, researchers have sought automated approaches for repairing broken record/replay tests. To date, such approaches have operated by directly analyzing differences between the releases of web applications. Often, however, intermediate versions or commits exist between releases, and these represent finer-grained sequences of changes by which new releases evolve. In this paper, we present WATERFALL, an incremental test repair approach that applies test repair techniques iteratively across a sequence of fine-grained versions of a web application. The results of an empirical study on seven web applications show that our approach is substantially more effective than a coarse-grained approach (209% overall), while maintaining an acceptable level of overhead.",10.1145/2950290.2950294,False,"While the approach leverages intermediate commits/versions, the study evaluates a test repair technique rather than mining repositories to discover insights about software development processes.",False,none,The paper compares the effectiveness of an incremental approach versus a coarse-grained approach but does not make causal claims or use causal inference methods.,True,The paper presents an empirical study on seven web applications to evaluate the effectiveness and overhead of the WATERFALL approach compared to a coarse-grained approach.,yes,
FSE 2015,Generating TCP/UDP network data for automated unit test generation,"Although automated unit test generation techniques can in principle generate test suites that achieve high code coverage, in practice this is often inhibited by the dependence of the code under test on external resources. In particular, a common problem in modern programming languages is posed by code that involves networking (e.g., opening a TCP listening port). In order to generate tests for such code, we describe an approach where we mock (simulate) the networking interfaces of the Java standard library, such that a search-based test generator can treat the network as part of the test input space. This not only has the benefit that it overcomes many limitations of testing networking code (e.g., different tests binding to the same local ports, and deterministic resolution of hostnames and ephemeral ports), it also substantially increases code coverage. An evaluation on 23,886 classes from 110 open source projects, totalling more than 6.6 million lines of Java code, reveals that network access happens in 2,642 classes (11%). Our implementation of the proposed technique as part of the EVOSUITE testing tool addresses the networking code contained in 1,672 (63%) of these classes, and leads to an increase of the average line coverage from 29.1% to 50.8%. On a manual selection of 42 Java classes heavily depending on networking, line coverage with EVOSUITE more than doubled with the use of network mocking, increasing from 31.8% to 76.6%.",10.1145/2786805.2786828,False,"While the study analyzes open source projects, it does not mine software repositories for insights about development processes; rather, it evaluates a proposed testing technique on collected codebases.",True,claim,"The paper claims that their network mocking technique 'leads to an increase' in code coverage, implying a causal effect of the technique on coverage outcomes.",True,"The paper conducts a large-scale empirical evaluation on 23,886 classes from 110 open source projects to measure the effect of their network mocking technique on code coverage.",no,"has_causal=True ambiguous: ""leads to an increase"" is standard tool evaluation language, not clearly an SE intervention-outcome research question"
ASE 2023,ExpressAPR: Efficient Patch Validation for Java Automated Program Repair Systems,"Automated program repair (APR) approaches suffer from long patch validation time, which limits their practical application and receives relatively low attention. The patch validation process repeatedly executes tests to filter patches, and has been recognized as the dual of mutation analysis. We systematically investigate existing mutation testing techniques and recognize five families of acceleration techniques that are suitable for patch validation, two of which are never adapted to a general-purpose patch validator. We implement and demonstrate ExpressAPR, the first framework that combines five families of acceleration techniques for patch validation as the complete set. In our evaluation on 30 random Defects4J bugs and four APR systems, ExpressAPR accelerates patch validation for two order-of-magnitudes over plain validation or one order-of-magnitude over the state-of-the-art approach, benefiting APR researchers and users with a much shorter patch validation time. Demo video available at https://youtu.be/7AB-4VvBuuM Tool repo (source code + Docker image + evaluation dataset) available at https://github.com/ExpressAPR/ExpressAPR",10.1109/ASE56229.2023.00012,False,The paper does not mine software repositories to discover insights about software development; it evaluates a patch validation framework on benchmark bugs.,False,none,The paper does not make causal claims or use causal inference methods; it reports performance comparisons of acceleration techniques.,False,"The paper proposes a tool/framework (ExpressAPR) with an empirical evaluation measuring its performance, making it a tool paper with evaluation rather than a primarily empirical SE study investigating software engineering phenomena.",yes,
ASE 2022,Which Exception Shall We Throw?,"Although the exception handling mechanism is critical for resolving runtime errors, bugs inside this process can have far-reaching impacts. Therefore, researchers have proposed various approaches to assist catching and handling such thrown exceptions and to detect corresponding bugs. If the thrown exceptions themselves are incorrect, their errors will never be correctly caught and handled. Like bugs in catching and handling exceptions, wrong thrown exceptions have caused real critical bugs. However, to the best of our knowledge, no approach has been proposed to recommend which exceptions shall be thrown. Exceptions are widely adopted in programs, often poorly documented, and sometimes ambiguous, making the rules of throwing correct exceptions rather complicated. A project team can leverage exceptions in a way totally different from other teams. As a result, even experienced programmers can have difficulties in determining which exception shall be thrown, although they have the skills to implement its surrounding code. In this paper, we propose the first approach, ThEx, to predict which exception(s) shall be thrown under a given programming context. The basic idea is to learn a classification model from existing thrown exceptions in source files. Here, the learning features are extracted from various code information surrounding the thrown exceptions, such as the thrown locations and related variable names. Then, given a new context, ThEx can predict its best exception(s). We have evaluated ThEx on 12,012 thrown exceptions that were collected from nine popular open-source projects. Our results show that it can achieve high f-scores and mcc values (both around 0.8). On this benchmark, we also evaluated the impacts of our underlying technical details. Furthermore, we evaluated our approach in the wild, and used ThEx to detect anomalies from the latest versions of the nine projects. In this way, we found 20 anomalies, and reported them as bugs to their issue trackers. Among them, 18 were confirmed, and 13 have already been fixed.",10.1145/3551349.3556895,False,"While the approach collects data from open-source projects' source code, the primary contribution is a prediction technique rather than mining repositories to discover empirical insights about software development.",False,none,The paper does not make causal claims or use causal inference methods; it focuses on prediction and classification of exceptions.,False,"The paper proposes a new technique (ThEx) for predicting which exceptions should be thrown and evaluates it; this is a tool/technique paper with an empirical evaluation, not a primarily empirical SE study investigating a software engineering phenomenon.",yes,
ICSE 2023,CC: Causality-Aware Coverage Criterion for Deep Neural Networks,"Deep neural network (DNN) testing approaches have grown fast in recent years to test the correctness and robustness of DNNs. In particular, DNN coverage criteria are frequently used to evaluate the quality of a test suite, and a number of coverage criteria based on neuron-wise, layer-wise, and path-/trace-wise coverage patterns have been published to date. However, we see that existing criteria are insufficient to represent how one neuron would influence subsequent neurons; hence, we lack a concept of how neurons, when functioning as causes and effects, might jointly make a DNN prediction. Given recent advances in interpreting DNN internals using causal inference, we present the first causality-aware DNN coverage criterion, which evaluates a test suite by quantifying the extent to which the suite provides new causal relations for testing DNNs. Performing standard causal inference on DNNs presents both theoretical and practical hurdles. We introduce CC (causal coverage), a practical and efficient coverage criterion that integrates a set of optimizations using DNN domain-specific knowledge. We illustrate the efficacy of CC using diverse, real-world inputs and adversarial inputs, such as adversarial examples (AEs) and backdoor inputs. We demonstrate that CC outperforms previous DNN criteria under various settings with moderate cost.",10.1109/ICSE48619.2023.00153,False,The paper does not mine software repositories; it evaluates a DNN testing coverage criterion using DNN models and test inputs.,True,method,"The paper explicitly uses causal inference methods to define a causality-aware coverage criterion for DNNs, analyzing causal relations among neurons using causal inference techniques.",False,"The paper proposes a new coverage criterion (CC) for DNN testing and evaluates it experimentally, making it a technique paper with empirical evaluation rather than an empirical SE study investigating software engineering phenomena.",yes,
ASE 2021,Towards Systematic and Dynamic Task Allocation for Collaborative Parallel Fuzzing,"Parallel coverage-guided greybox fuzzing is the most common setup for vulnerability discovery at scale. However, so far it has received little attention from the research community compared to single-mode fuzzing, leaving open several problems particularly in its task allocation strategies. Current approaches focus on managing micro tasks, at the seed input level, and their task division algorithms are either ad-hoc or static. In this paper, we leverage research on graph partitioning and search algorithms to propose a systematic and dynamic task allocation solution that works at the macro-task level. First, we design an attributed graph to capture both the program structures (e.g., program call graph) and fuzzing information (e.g., branch hit counts, bug discovery probability). Second, our graph partitioning algorithm divides the global program search space into sub-search-spaces. Finally our search algorithm prioritizes these sub-search-spaces (i.e., tasks) and explores them to maximize code coverage and number of bugs found. The results are collected to update the graph and guide further iterations of partitioning and exploration. We implemented a prototype tool called AFLTeam. In our preliminary experiments on well-tested benchmarks, AFLTeam achieved higher code coverage (up to 16.4% branch coverage improvement) compared to the default parallel mode of AFL and discovered 2 zero-day bugs in FFmpeg and JasPer toolkits.",10.1109/ASE51524.2021.9678810,False,The paper does not mine software repositories; it proposes and evaluates a fuzzing technique on software benchmarks.,False,none,The paper does not make causal claims or use causal inference methods; it reports performance improvements of the proposed tool compared to baselines.,False,"The paper proposes a new technique (AFLTeam) for parallel fuzzing with only preliminary experiments to demonstrate its effectiveness, making it primarily a technique paper with evaluation rather than an empirical SE study.",yes,
ICSE 2025,Neurosymbolic Modular Refinement Type Inference,"Refinement types, a type-based generalization of Floyd-Hoare logics, are an expressive and modular means of statically ensuring a wide variety of correctness, safety, and security properties of software. However, their expressiveness and modularity means that to use them, a developer must laboriously annotate all the functions in their code with potentially complex type specifications that specify the contract for that function. We present LHC, a neurosymbolic agent that uses LLMs to automatically generate refinement type annotations for all the functions in an entire package or module, using the refinement type checker LiquidHaskell as an oracle to verify the correctness of the generated specifications. We curate a dataset of three Haskell packages where refinement types are used to enforce a variety of correctness properties from data structure invariants to low-level memory safety and use this dataset to evaluate LHC. Previously these packages required expert users several days to weeks to annotate with refinement types. Our evaluation shows that even when using relatively smaller models like the 3 billion parameter StarCoder LLM, by using fine-tuning and carefully chosen contexts, our neurosymbolic agent generates refinement types for up to 94% of the functions across entire libraries automatically in just a few hours, thereby showing that LLMs can drastically shrink the human effort needed to use formal verification.",10.1109/ICSE55347.2025.00090,False,The paper does not mine software repositories to discover insights about software development processes or practices.,False,none,The paper does not make causal claims or use causal inference methods; it reports performance metrics of the proposed tool.,False,The paper proposes a neurosymbolic tool (LHC) for generating refinement type annotations and evaluates it on a curated dataset; this is a tool/technique paper with an evaluation rather than an empirical study investigating SE phenomena.,yes,
